customerid,companyname,contactname,contacttitle,city,region,postalcode,country,phone,fax
MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055
MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Leipzig,,04179,Germany,0342-023176,
NORTS,North/South,Simon Crowther,Sales Associate,London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Köln,,50739,Germany,0221-0644327,0221-0765721
PARIS,Paris spécialités,Marie Bertrand,Owner,Paris,,75012,France,(1) 42.34.22.66,(1) 42.34.22.77
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,México D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745
PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Salzburg,,5020,Austria,6562-9722,6562-9723
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Lisboa,,1756,Portugal,(1) 356-5634,
QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545
QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,
QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Cunewalde,,01307,Germany,0372-035188,
RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620
REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Reggio Emilia,,42100,Italy,0522-556721,0522-556722
RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,
RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Genève,,1203,Switzerland,0897-034214,
ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,Madrid,,28001,Spain,(91) 745 6200,(91) 745 6210
SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Stavern,,4110,Norway,07-98 92 35,07-98 92 47
SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,Boise,ID,83720,USA,(208) 555-8097,
SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
SIMOB,Simons bistro,Jytte Petersen,Owner,Kobenhavn,,1734,Denmark,31 12 34 56,31 13 35 57
SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,Paris,,75016,France,(1) 47.55.60.10,(1) 47.55.60.20
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525
SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
THEBI,The Big Cheese,Liz Nixon,Marketing Manager,Portland,OR,97201,USA,(503) 555-3612,
THECR,The Cracker Box,Liu Wong,Marketing Assistant,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083
TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Münster,,44087,Germany,0251-031259,0251-035695
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,México D.F.,,05033,Mexico,(5) 555-2933,
TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174
VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Århus,,8200,Denmark,86 21 32 43,86 22 33 44
VICTE,Victuailles en stock,Mary Saveley,Sales Agent,Lyon,,69004,France,78.32.54.86,78.32.54.87
VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,Reims,,51100,France,26.47.15.10,26.47.15.11
WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Stuttgart,,70563,Germany,0711-020361,0711-035428
WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Oulu,,90110,Finland,981-443655,981-443655
WELLI,Wellington Importadora,Paula Parente,Sales Manager,Resende,SP,08737-363,Brazil,(14) 555-8122,
WHITC,White Clover Markets,Karl Jablonski,Owner,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Helsinki,,21240,Finland,90-224 8858,90-224 8858
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,Warszawa,,01-012,Poland,(26) 642-7012,(26) 642-7012
